P07814,P07814,-1.000000
P07814,P47897,-0.087800
P07814,P23381,-0.018600
Q9NVM6,Q9NVM6,-1.000000
Q9NVM6,Q9UBS4,-0.117100
Q9NVM6,O75190,-0.112400
Q9NVM6,O75937,-0.110400
Q9NVM6,P31689,-0.105200
Q9NVM6,Q8WW22,-0.101000
Q9NVM6,Q8WXX5,-0.098400
Q9NVM6,P59910,-0.097400
Q9NVM6,Q7Z6W7,-0.096400
P82970,P82970,-1.000000
P82970,P05114,-0.108600
P82970,Q15651,-0.094300
Q15365,Q15365,-1.000000
Q15365,Q15366,-0.817900
Q15365,P57721,-0.613000
Q15365,P61978,-0.195900
Q15365,Q92945,-0.141500
Q15365,Q96AE4,-0.124700
Q15365,Q9Y6M1,-0.121200
Q15365,Q9NZI8,-0.103500
Q15365,O00425,-0.102700
Q15365,Q00341,-0.078100
Q3ZAQ7,Q3ZAQ7,-1.000000
O00232,O00232,-1.000000
O00232,Q9BT78,-0.093000
P05121,P05121,-1.000000
P05121,P07093-2,-0.382800
P05121,P07093,-0.378600
P05121,Q99574,-0.297300
P05121,P01008,-0.242100
P05121,P30740,-0.231500
P05121,P01009,-0.225800
P05121,P50453,-0.223500
P05121,P05120,-0.220100
P05121,P05154,-0.216000
P05121,P29622,-0.215600
P05121,P01011,-0.215200
P05121,P05543,-0.201200
P05121,P36952,-0.192900
P05121,P05546,-0.178500
P05121,P08697,-0.171300
P05121,A8K259,-0.160000
P05121,P50454,-0.160000
P05121,P05155,-0.154700
P05121,P01019,-0.085900
O75190,O75190,-1.000000
O75190,Q7Z6W7,-0.494200
O75190,P31689,-0.165500
O75190,P59910,-0.164600
O75190,Q8WW22,-0.159200
O75190,Q9UBS4,-0.144000
O75190,O60884,-0.134600
O75190,Q99615,-0.126100
O75190,Q9NVM6,-0.097000
O75190,Q8WXX5,-0.092600
O75190,Q2VIL4,-0.078700
A0SA07,A0SA07,-1.000000
A0SA07,P00403,-0.995300
A0SA07,B2XL43,-0.994700
A0SA07,Q15HH9,-0.994700
A0SA07,Q09U41,-0.994700
A0SA07,Q8WCW3,-0.994700
A0SA07,Q9B138,-0.994700
A0SA07,Q7Y626,-0.994700
A0SA07,Q7Y6N0,-0.994700
A0SA07,Q9B2U8,-0.994700
A0SA07,Q4GQP0,-0.994700
A0SA07,Q0Z7S0,-0.993400
A0SA07,Q4EZD4,-0.992700
A0SA07,Q6VJD8,-0.992700
A0SA07,A6ZHA9,-0.992000
A0SA07,Q4GW12,-0.992000
A0SA07,Q85KS0,-0.992000
A0SA07,Q4GCZ4,-0.992000
A0SA07,Q6RKW8,-0.992000
A0SA07,Q9B1F9,-0.992000
A0SA07,Q4GHE1,-0.992000
A0SA07,Q6VJJ3,-0.992000
A0SA07,Q0Z7F1,-0.992000
A0SA07,Q6R0V6,-0.992000
A0SA07,Q7YCE6,-0.992000
A0SA07,Q7Y6M3,-0.992000
A0SA07,A1Z455,-0.992000
A0SA07,B2XIR3,-0.991400
A0SA07,B2XP28,-0.991400
A0SA07,B1W855,-0.991400
A0SA07,A7LDC6,-0.991400
A0SA07,A6ZF47,-0.991400
A0SA07,A6Z3M5,-0.991400
A0SA07,A6ZFK3,-0.991400
A0SA07,A7LF11,-0.991400
A0SA07,Q5SAP1,-0.991400
A0SA07,Q6VIG7,-0.991400
A0SA07,Q4F4V6,-0.991400
A0SA07,Q6RNN7,-0.991400
A0SA07,Q19MP7,-0.991400
A0SA07,Q4GCC3,-0.991400
A0SA07,A1Z4V2,-0.991400
A0SA07,Q4EYL1,-0.991400
A0SA07,Q4F6A2,-0.991400
A0SA07,Q5SB08,-0.991400
A0SA07,B2XPS3,-0.990700
A0SA07,B2XHT9,-0.990700
A0SA07,Q06TE6,-0.990700
A0SA07,Q5XRW8,-0.990700
A0SA07,Q5SA98,-0.990700
A0SA07,Q6RQ80,-0.990700
A0SA07,Q4GCG2,-0.990700
A0SA07,B2WRY8,-0.990000
A0SA07,A7LFA2,-0.990000
